content,star,product_id,comment_time,clean_content,label
质量非常好，物流也很快,5,phone_001,2026-07-01,质量非常好，物流也很快,1
垃圾产品，用了两天就坏了,1,phone_001,2026-07-01,垃圾产品，用了两天就坏了,0
价格实惠，物有所值，还会回购,4,phone_002,2026-07-02,价格实惠，物有所值，还会回购,1
发货速度慢，包装有破损,2,phone_002,2026-07-02,发货速度慢，包装有破损,0
商品质量很好，客服态度也不错,5,phone_001,2026-07-03,商品质量很好，客服态度也不错,1
太失望了，和描述完全不一样,1,phone_003,2026-07-03,太失望了，和描述完全不一样,0
非常好用，推荐给朋友,5,phone_003,2026-07-04,非常好用，推荐给朋友,1
售后很给力，问题解决了,4,phone_002,2026-07-05,售后很给力，问题解决了,1
收到货发现是坏的，差评,1,phone_003,2026-07-05,收到货发现是坏的，差评,0
性价比很高，值得购买,4,phone_001,2026-07-06,性价比很高，值得购买,1
质量太差了，不会再买,1,phone_002,2026-07-06,质量太差了，不会再买,0
物流很快，包装完好,5,phone_003,2026-07-07,物流很快，包装完好,1
产品做工粗糙，不满意,2,phone_001,2026-07-07,产品做工粗糙，不满意,0
客服态度很好，耐心解答,4,phone_002,2026-07-08,客服态度很好，耐心解答,1
商品质量不错，物流也很快,5,phone_001,2026-07-08,商品质量不错，物流也很快,1
用了几天就坏了，质量堪忧,1,phone_003,2026-07-09,用了几天就坏了，质量堪忧,0
物美价廉，值得推荐,4,phone_002,2026-07-09,物美价廉，值得推荐,1
配送速度太慢了，等了好几天,2,phone_001,2026-07-10,配送速度太慢了，等了好几天,0
产品质量很好，包装精美,5,phone_003,2026-07-10,产品质量很好，包装精美,1
售后客服态度很差，不给解决问题,1,phone_002,2026-07-11,售后客服态度很差，不给解决问题,0
商品和图片一致，满意,4,phone_001,2026-07-11,商品和图片一致，满意,1
质量太差，退货了,1,phone_003,2026-07-12,质量太差，退货了,0
物流很快，客服态度好,5,phone_002,2026-07-12,物流很快，客服态度好,1
非常满意的一次购物,5,phone_003,2026-07-13,非常满意的一次购物,1
质量有问题，联系售后没人理,1,phone_002,2026-07-14,质量有问题，联系售后没人理,0
发货快，质量好,5,phone_001,2026-07-14,发货快，质量好,1
不太满意，质量一般,2,phone_003,2026-07-15,不太满意，质量一般,0
客服很热情，解决问题很快,4,phone_002,2026-07-15,客服很热情，解决问题很快,1
产品质量超出预期，好评,5,phone_001,2026-07-16,产品质量超出预期，好评,1
物流太慢，等得着急,2,phone_003,2026-07-16,物流太慢，等得着急,0
东西很好用，推荐大家购买,5,phone_002,2026-07-17,东西很好用，推荐大家购买,1
质量不行，不值这个价格,1,phone_001,2026-07-17,质量不行，不值这个价格,0
包装完好，商品没问题,4,phone_003,2026-07-18,包装完好，商品没问题,1
服务态度差，不会再买,1,phone_002,2026-07-18,服务态度差，不会再买,0
产品质量好，值得信赖,5,phone_001,2026-07-19,产品质量好，值得信赖,1
性价比超高，强烈推荐,4,phone_003,2026-07-19,性价比超高，强烈推荐,1
配送及时，商品完好,5,phone_002,2026-07-20,配送及时，商品完好,1
质量一般，价格偏贵,2,phone_001,2026-07-20,质量一般，价格偏贵,0
客服服务好，解决问题快,4,phone_003,2026-07-21,客服服务好，解决问题快,1
商品质量差，退款慢,1,phone_002,2026-07-21,商品质量差，退款慢,0
物流很快，包装很好,5,phone_001,2026-07-22,物流很快，包装很好,1
产品不符合描述,2,phone_003,2026-07-22,产品不符合描述,0
质量很好，价格合理,4,phone_002,2026-07-23,质量很好，价格合理,1
发货速度快，满意,5,phone_001,2026-07-23,发货速度快，满意,1
质量堪忧，用了就坏,1,phone_003,2026-07-24,质量堪忧，用了就坏,0
包装精美，送人合适,4,phone_002,2026-07-24,包装精美，送人合适,1
物流太慢，商品一般,2,phone_001,2026-07-25,物流太慢，商品一般,0
很满意的一次购物体验,5,phone_003,2026-07-25,很满意的一次购物体验,1
